Timestamp,Tilt Angle,Direction,Temperature
2024-02-26 00:00:00,0.029,42.58,5.055
2024-02-26 00:01:00,0.017,44.749,5.022
2024-02-26 00:02:00,0.007,46.832,6.39
2024-02-26 00:03:00,0.001,45.276,4.783
2024-02-26 00:04:00,0.001,44.532,5.675
2024-02-26 00:05:00,0.03,45.485,4.788
2024-02-26 00:06:00,0.005,45.104,4.66
2024-02-26 00:07:00,0.003,45.876,4.618
2024-02-26 00:08:00,0.006,44.631,4.564
2024-02-26 00:09:00,0.022,45.462,5.055
2024-02-26 00:10:00,0.018,45.949,5.02
2024-02-26 00:11:00,0.015,45.889,4.062
2024-02-26 00:12:00,0.057,43.872,5.24
2024-02-26 00:13:00,0.028,44.726,4.814
2024-02-26 00:14:00,0.016,45.057,5.566
2024-02-26 00:15:00,0.036,45.24,4.568
2024-02-26 00:16:00,0.015,46.199,4.506
2024-02-26 00:17:00,0.043,45.018,5.439
2024-02-26 00:18:00,0.001,44.712,4.918
2024-02-26 00:19:00,0.036,44.64,4.813
2024-02-26 00:20:00,0.027,46.452,5.108
2024-02-26 00:21:00,0.005,44.401,4.623
2024-02-26 00:22:00,0.02,44.667,5.17
2024-02-26 00:23:00,0.031,45.777,5.232
2024-02-26 00:24:00,0.003,45.098,5.587
2024-02-26 00:25:00,0.035,45.315,4.884
2024-02-26 00:26:00,0.043,43.665,4.022
2024-02-26 00:27:00,0.027,44.69,4.553
2024-02-26 00:28:00,0.019,46.224,5.016
2024-02-26 00:29:00,0.019,46.306,5.577
2024-02-26 00:30:00,0.044,43.993,5.26
2024-02-26 00:31:00,0.023,44.832,5.854
2024-02-26 00:32:00,0.036,43.158,5.205
2024-02-26 00:33:00,0.045,45.815,4.809
2024-02-26 00:34:00,0.037,42.517,4.366
2024-02-26 00:35:00,0.066,46.526,5.408
2024-02-26 00:36:00,0.042,44.676,5.512
2024-02-26 00:37:00,0.062,46.744,4.734
2024-02-26 00:38:00,0.02,43.409,5.767
2024-02-26 00:39:00,0.055,44.255,3.886
2024-02-26 00:40:00,0.048,43.259,5.435
2024-02-26 00:41:00,0.048,47.029,4.561
2024-02-26 00:42:00,0.081,45.462,5.003
2024-02-26 00:43:00,0.031,45.272,6.231
2024-02-26 00:44:00,0.063,45.524,5.576
2024-02-26 00:45:00,0.071,45.265,5.553
2024-02-26 00:46:00,0.044,46.179,4.979
2024-02-26 00:47:00,0.061,48.471,5.194
2024-02-26 00:48:00,0.095,44.733,4.997
2024-02-26 00:49:00,0.046,43.158,5.605
2024-02-26 00:50:00,0.046,44.192,5.295
2024-02-26 00:51:00,0.068,44.922,4.92
2024-02-26 00:52:00,0.078,45.307,4.477
2024-02-26 00:53:00,0.093,45.707,5.382
2024-02-26 00:54:00,0.068,45.166,5.339
2024-02-26 00:55:00,0.063,43.576,5.332
2024-02-26 00:56:00,0.055,43.84,5.253
2024-02-26 00:57:00,0.045,45.275,5.118
2024-02-26 00:58:00,0.059,45.512,5.411
2024-02-26 00:59:00,0.088,44.829,4.762
2024-02-26 01:00:00,0.088,44.294,4.685
2024-02-26 01:01:00,0.05,46.593,4.721
2024-02-26 01:02:00,0.065,44.569,4.639
2024-02-26 01:03:00,0.078,44.853,4.5
2024-02-26 01:04:00,0.076,45.165,4.631
2024-02-26 01:05:00,0.064,42.698,5.239
2024-02-26 01:06:00,0.057,47.226,5.143
2024-02-26 01:07:00,0.071,45.116,4.503
2024-02-26 01:08:00,0.08,43.933,4.426
2024-02-26 01:09:00,0.079,44.541,5.144
2024-02-26 01:10:00,0.085,44.474,5.335
2024-02-26 01:11:00,0.064,45.646,6.076
2024-02-26 01:12:00,0.057,43.958,5.183
2024-02-26 01:13:00,0.075,44.71,5.087
2024-02-26 01:14:00,0.059,44.365,4.635
2024-02-26 01:15:00,0.099,45.255,4.889
2024-02-26 01:16:00,0.099,46.608,3.617
2024-02-26 01:17:00,0.081,45.463,5.474
2024-02-26 01:18:00,0.072,42.874,5.389
2024-02-26 01:19:00,0.074,45.727,5.598
2024-02-26 01:20:00,0.111,45.977,5.074
2024-02-26 01:21:00,0.136,43.768,5.648
2024-02-26 01:22:00,0.082,45.616,3.962
2024-02-26 01:23:00,0.08,45.363,4.597
2024-02-26 01:24:00,0.064,44.77,4.369
2024-02-26 01:25:00,0.134,45.829,4.813
2024-02-26 01:26:00,0.133,45.513,5.535
2024-02-26 01:27:00,0.109,43.037,4.553
2024-02-26 01:28:00,0.123,44.521,5.291
2024-02-26 01:29:00,0.116,45.039,6.764
2024-02-26 01:30:00,0.083,44.948,5.437
2024-02-26 01:31:00,0.125,46.268,4.769
2024-02-26 01:32:00,0.127,45.238,4.571
2024-02-26 01:33:00,0.141,44.804,4.467
2024-02-26 01:34:00,0.123,43.386,3.865
2024-02-26 01:35:00,0.112,45.899,5.087
2024-02-26 01:36:00,0.111,45.999,5.271
2024-02-26 01:37:00,0.147,45.623,5.649
2024-02-26 01:38:00,0.105,45.2,4.755
2024-02-26 01:39:00,0.149,45.148,5.49
2024-02-26 01:40:00,0.122,45.516,4.052
2024-02-26 01:41:00,0.098,44.542,5.815
2024-02-26 01:42:00,0.12,44.96,4.74
2024-02-26 01:43:00,0.133,44.363,5.357
2024-02-26 01:44:00,0.113,44.829,6.506
2024-02-26 01:45:00,0.138,45.532,5.127
2024-02-26 01:46:00,0.169,45.789,5.162
